title,author,rating,description,genre
동경과 거짓말,오한,9.97,"음악을 순수히 동경하는 편입생, 에델바이스 밀런.
그러나 음악 학원에 계속해서 다니고 싶다면 자기 대신 후계자인 척하라는
후계자의 협박을 받고 가짜 신분을 유지하기 위해 고군분투한다.",드라마
돌격! 용마치킨,팀 오누이,9.87,"치킨집 수렴의 법칙. 당신이 문과든 이과든 결국은 치킨집을 하게 된다! 
....라는 법칙은 세상을 구하고 돌아온 용사도 예외는 아니었다.
그러나 신의 계략으로 용사는 마왕과 함께 빚을 갚아야 하는데… 

빚? 갚아주겠어… 바로 이 치킨으로! 그런데… 직원들의 상태가 심상치 않다?
용사와 마왕의 눈물나는 자본주의 극복기",판타지
자매의 사생활,조주희 / 뉘롬,9.9,"내가 국민 X년이라고..?
눈떠보니 쌍둥이언니와 바뀐 인생.
그런데...
""남편얼굴이 내 취향이다.""",로맨스
왕자님 짠내밥상,쑥,9.59,오승지는 자신을 버린 엄마를 찾기 위해 베르사유 궁전 201호를 찾게 된다. 그곳은 궁전이 아닌 허름하고 낡은 고시원이었고 엄마가 아닌 '브루봉 그룹 4대 후계자'로 소문난 루이가 살고 있었다. 그리고 그들의 하루하루 먹고살기 위한 짠내 나는 생존 요리가 펼쳐진다.,드라마
그 남학생에게 고백하지 마십시오,도희권,9.92,"소심한 여고생 귀신 이다정.
미모, 재력, 인기 모두 가진 채림에게 빙의해버렸다!
어설프게 채림을 흉내 내보지만… 한 사람에게 정체를 들키고 만다. 
바로 채림의 썸남인 ‘백이삭’.

“채림이인 척 할 수 있게 도와줄게.”
상냥하지만 어쩐지 수상한 이 남학생. 믿어도 되는 걸까?
내 죽음의 비밀은 뭘까?
아슬아슬 오컬트 순정만화! ♥︎",로맨스
대리게임,철준,9.05,"같은 학교의 유찬에게 매주 상납금을 바치며 괴로운 나날을 보내는 도윤.
어느 날, 온라인 게임에서 만난 게임 개발자인 지인에게 어떤 인디게임을 받게 되고
도윤은 게임의 주인공이 자신과 똑같은 처지에 처해있다는 사실에 놀란다.
혹시나 하는 마음 반, 호기심 반에 괴롭히는 자신을 유찬에게 잔인한 복수를 게임에서 선택하고 다음 날을 맞는다.
도윤의 일상은 게임과 똑같이 흘러가기 시작하고...
수상했던 게임은 도윤의 인생을 게임의 선택지로 송두리째 바꿔놓는다.",스릴러
죽었던 너와 다시 시작하기,히우,9.88,"어릴 적, 자신을 괴롭혔던 ‘하율’과 똑같이 생긴 ‘하임’을 대학교에서 만나게 된 ‘이루’.
본능적으로 하임을 불편해 한다. 하지만 모든 것이 완벽한 남자 하임에게 자신도 모르게 끌리게 되고….
이 사랑, 시작해도 되는 걸까?",로맨스
"아, 연애하고 싶다",강우봉,9.47,"저지방 우유 같이 밍밍하고 지루한 하루하루를 보내는 평범한 직딩 연단남 지오. 그에게 인생의 낙이라곤 게임밖에 없지만, 어느 날 눈앞에 나타난 초절정미녀 소하의 등장으로 잠자고 있던 연애세포가 각성한다. 한편 그가 근무하는 회사에 신입사원 유진도 지오를 짝사랑하고 있었는데…극소심 짝사랑 전문가들은 과연 자신의 한계(?)를 뛰어넘고 사랑을 쟁취할 수 있을까?",로맨스
마음의소리(였던 것),조석,9.97,"""그리다 만화가 남아서 조금 더 넣었습니다""
마음의소리가 될 뻔한(?) 더 짧고, 더 날것의 에피소드들 대방출 (어? 이게 되네..?)",개그
백XX,"병장, 박만사 / 펀치킥",9.85,"정보사(HID) 요원 '백이수'와 범죄 조직의 보스인 쌍둥이 형 '백도경'.
같은 얼굴 다른 삶을 살아온 쌍둥이 형제. 조직에 배신당한 동생은 자신의 신분을 버리고 형이 되기로 한다.
정보사요원, 범죄 조직의 보스가 되다...!",액션
진돌히디만화,"진돌, 히디 / 진돌",9.98,대학 CC로 만나 결혼까지 하고 웹툰작가까지 하다 뉴튜버까지 됐다? 동갑내기 부부 웹툰작가의 한치 앞도 알 수 없는 생활툰,일상
66666년 만에 환생한 흑마법사,팀 더 제이 / 백세 / 화봉,9.94,"강대했던 흑마법사 디아블로 볼피르.
12신의 계략에 당해 억겁 속에 봉인되었지만,
그로부터 66666년이 흘러 다시금 이 땅에 강림한다!
""응애!""
웰턴 백작의 갓 태어난 장남으로.
딥다크 매직 판타지 시작!",판타지
캐슬2:만인지상,"정연, 박만사 / 정연",9.93,"뒷세계 절대권력 '캐슬'을 무너뜨리기 위하여 전국의 남자들을 모아 '백의'를 조직한 특급킬러 '김신'은 
그렇게 캐슬 내부로 들어가 적과의 동침을 시작하는데.. 과연 김신은 자신이 염원하던대로 캐슬을 무너뜨리고 복수를 완성할수 있을까.",액션
1등급 싸움과외,김태경,9.78,"찐따, 1등급 싸움 과외를 받다! 
일진에게 괴롭힘 당하며 우울한 나날을 보내던 고등학생 김재혁. 
공부는 잘하지만, 차라리 싸움을 더 잘하고 싶다.
그러던 그에게 운명적으로 '싸움 과외 선생님'이 생기게 되는데!",액션
왕따가 격투기를 너무 잘함,"박만사, 김꿀빨 / 김꿀빨 / 아몬드빵",9.73,"종합격투기 선수 차무결은 장회장의 꼬임에 넘어가 무체급 격투기를 하던중 식물인간이 된다. 이후 장회장의 이미지 쇄신용으로
이용당하는 차무결. 결국 죽게되는 그는 동명의 고등학생 차무결의 몸에 빙의된다.
내구도 s급의 단단한 몸. 격투기 능력을 업그레이드 시켜 줄 수 있는 상태창 능력. 이번엔 다르다.
이루지 못한 최강자의 꿈과 함께 장회장에게 복수하기 위한 싸움이 시작된다.",액션
어린이집 다니는 구나,구나,9.97,"""노는 게 제일 좋아!"" 라고 했더니 정말 노는 게 직업이 됐다?! 매일 동심의 세계로 출퇴근한지 어쩌다 10년째!
아이들이라면 알 만큼 안다고 생각했는데... 예측불가한 말과 행동들은 여전히 새롭기만 하다. 
그런 아이들에게 언제나 ""그랬구나"" 라고 말해주는,
10년차 프로공감러 구나가 들려주는 어린이집 선생님 이야기",일상
쌉초의 난,쌉초,9.91,"어디로 튈 지 모르는 무한 매력의 소유자 쌉초가 네이버웹툰에 불시착했다! 
""헛웃음도 웃음이다!""를 외치며 팍팍하고 고된 일상 속에서도 
꾸역꾸역 재미를 찾아가는 이 시대의 노력형 작가 쌉초의 털거덕 털거덕 어떻게든 굴러가는 삶 속으로 출발~!",일상
별을 품은 소드마스터,홍대의 / 주노 / Q10,9.96,"기사를 동경하는 슬럼가의 부랑아 블라드.
검은 벼락을 맞는 사고 이후부터 들리기 시작한 누군가의 목소리와,
어느 날 갑자기 등장한 푸른 달빛의 기사가 블라드의 세계를 산산조각내면서
뒷골목 소년의 삶이 송두리째 변하기 시작하는데...

높디높은 밤하늘에 있지 않더라도,
아무도 보지 못하는 곳에 떨어져 있더라도
스스로가 빛나기를 원한다면, 그렇다면 그것은
별일 것이다.",판타지
흔한 빙의물인 줄 알았다,DOYOSAY / 아진 / 레몬개구리,9.96,"그럼 그렇지, 내 팔자에 무슨 주인공이야.
 
남편 손에 죽을 팔자의 악녀였지만, 난 이 클리셰를 안다!
억울하게 죽은 대가로는 꽤 괜찮다고 생각했다.
원작의 흐름에서 벗어나지 못한다는 걸 깨닫기 전까지는.
결국 원작대로 죽을 거라면, 초미남 남편에게 뽀뽀라도 해보자!
 
""리겔호프의 꽃뱀답게 나를 만족시켜 보십시오. 또 모르잖습니까. 몸정이라도 생길지.""

......왜 원작이 달라지기 시작하는 거지?",로맨스
사천당가의 검신급 소가주가 되었다,PSG / 김종섭 / 화계,9.87,"독과 암기의 명가였지만 지금은 몰락해버린 사천당가.
그곳에서 태어난 당연명은 문득 검에 미쳐 살며
검신의 경지에 이르렀던 전생을 각성한다.

'이번 생은 평범하게 살고 싶다.'

평범하게 살려면, 역시 검술 실력은 숨겨야겠지.
그런데 방해하는 것들이 너무 많다.",무협/사극
중간에서 만나,조흰 / 윤김,9.95,"""내가 재밌게 해줄 수 있는데.""
서른 살, 노잼 인생을 살고 있는 여름 앞에
어느 날 나타난 미스테리 연하남!
앞뒤 가리지 않고 직진하는 모습이 그저 귀엽다가도, 
어딘가 세하고 어딘가 집착적인데?
 
대체 너 나한테 원하는 게 뭐니?!
두근두근 쌍방사기 로맨스 코미디!",로맨스
강철을 먹는 플레이어,감독9 / 지점장,9.73,"강철대제 이현욱, 인류의 마지막 구원자인 그가 죽었다.
 미래를 바꾸기 위해 그가 회귀한 곳은… 군대?!!
왜 하필 여기냐고!”
 복수를 위해 특급 성장하는 이현욱 상병의 강철 먹방이 시작된다!",액션
어느 마법사의 식당,차씨 / 스튜디오 이너스 / 배드보이즈,9.96,"요리사를 꿈꾸던 내가 사고로 이세계에 떨어졌다. 

몬스터와 마법이 넘쳐나는 판타지 세계이지만 여기라고 식당을 못할 건 없잖아?

그러나 전쟁으로 인해 이세계에 들어오자마자 군대에 끌려가게 되고, 

15년간의 고생 끝에 드디어 나만의 식당을 열게 되는데...",판타지
베이비 폭군,아원 / 이흰,9.97,"가질 수 없었던 화목한 가정, 다정한 부모님.
비참한 결말 끝에 눈을 떠 보니, 환생했다.
그것도 제국의 공주로!

그런데 이 나라 좀 이상하다!
오빠 같은 아빠, 꼬리 하나 달렸을 거 같은 진짜 오빠가
시도 때도 없이 찾아와서 귀찮게 한다!

하지만 가족의 사랑 따위 필요 없어!
이번 생엔 조용히 지내다가 떠날 거야!
그랬는데! 분명 내 목표는 그랬는데!
황궁의 숲을 주질 않나, 성을 하사하질 않나,
이젠 심지어 한 살인 나에게 나라를 주겠다고?!

이 나라는 미쳤다!!

“안 돼! 이대로 나의 조용한 생활을 포기할 순 없어!”",로맨스
남사친의 법칙,이도윤,9.97,"남몰래 '재이'를 짝사랑해온 '지운'. 재이가 자신에게 고백할 줄 알았던 지운은, 재이의 짝사랑 상대가 다른 사람이라는 사실을 알고는 정신이 아득해진다. 
짝사랑이 허무하게 끝났다고 생각함과 동시에, 재이가 자신의 짝사랑 상대를 '서현'이라고 착각하고 있다는 걸 알게 된다. 
그저 재이의 키 크고 덩치 큰 친구 중 하나일 뿐인, 말 그대로 남자인 사람 친구일 뿐인 서현과 자신을 이어주려는 재이의 행동에 해탈하고 마는데... 
좌충우돌 학원 로맨스!",로맨스
악의 등교,팀 더 제이 / 시원 / 산천,9.94,"성적 우수, 용모 단정, 싸움 실력 평균 이상 그리고 약간의 정의로움. 1등급 모범생 김현성은 졸업을 앞둔 어느 날 옥상에서 떠밀려 식물인간이 되고 만다. 청각과 의식만 살아 있는 상태로 죽지도 못하고 지옥 같은 나날을 보낸 지 10년, 그는 불현듯 괴롭힘이 시작된 그날로 돌아온다.",액션
마님이네 미국 시골집 이야기,마님,8.48,"마님♡올리버쌤♡체리 가족이 찾아왔습니다!
미국 남자 올리버와 토종 한국인 마님, 그리고 사랑스러운 딸 체리와 다섯 마리 반려 동물까지.
하루종일 육아하고 털 청소하느라 바쁘지만, 그래도 하하 호호 행복한 미국 시골집 이야기.",일상
어린 상사,LICO / 박수정,9.87,"지루한 연애 끝에 결혼을 앞둔 평범한 직장인, 강시현. 
그녀 앞에 어릴 적 자신이 돌봤던 아이, 윤태하가 나타났다.
새로 부임한 본부장, 그러니까 시현의 상사로. 

“너 나한테 이러면 안 돼. 세상에 마지막 남은 남자가 너라도 우린 안 된다고!” 
그토록 귀여웠던 어린아이가, 어느덧 남자의 눈빛으로 그녀를 바라보며 말한다. 

""그 결혼, 나랑 해.""",로맨스
나의 신은 욕망꾸러기,서아,9.97,"평생 욕심없이 살아온 소심한 윤리교사 전햇살, 그녀의 옆집에 욕망과 쾌락의 신이 이사왔다.
섹시한 외모에 치명적인 향기를 내뿜는 그의 이름은 ‘디오니소스’, 줄여서 디오.
디오가 신계 와인을 제조할 때 꼭 들어가야 하는 재료는 인간의 평생 이루지 못한 짙은 욕망이다.
그걸 가진 건 바로 햇살! 바라는 거라곤 그저 반복되는 평온한 일상 뿐, 여타 다른 꿈이나 욕망이라곤 1도 없이 살아온 햇살인데…
디오는 햇살의 깊은 곳의 욕망을 깨워내기 위해 신의 능력까지 사용해가며 그녀를 쉴새없이 귀찮게 굴기 시작한다.",로맨스
닥터앤닥터 병원일기,닥터베르,9.12,"공학박사 닥터(Ph.D)베르와 산부인과 전문의 닥터(Dr.)안다는 닥터앤닥터 부부다. 
아들 레서를 키우다 경력이 단절된 닥터베르는 돌연 웹툰 작가에 도전한다. 
하지만 데뷔의 기쁨도 잠시. 알고 보니 혈액암 4기라고? 
믿기 힘든 일상을 통해 새롭게 맺어진 인연들의 이야기, 지금 시작합니다.",일상
망치하르방,상상어,9.96,"“왜 우리 집 형편에 내 꿈을 맞춰야 해?” 마법사가 되고 싶은 '탄'. 
50년 동안의 망치질로 마법 학교 학비를 마련하는데 성공한다. 
70살 할아버지의 마법학교 입학기! 
그런데 나... 마법사보다 강한 몸이 되어버렸을지도...?",판타지
귀비나리,신희빈 / 곰시,9.94,"영적 능력을 가진 고등학생 태린은
어느 날 귀신의 사연을 알게 된다.
귀신보다 사람이 더 위험한 걸 알게 된 태린은
소꿉친구인 창우와 귀신들의 한을 풀어 주기로 결심하는데…",스릴러
결혼 시뮬레이션,김래잇 / 황주영,9.7,"가까운 미래. 점점 떨어지는 혼인율, 감소하는 인구.
결혼은 더 이상 사랑이 아닌 투자이다.
""그 투자, 저희가 도와드립니다.""

상대방과 결혼한 미래를 시뮬레이션으로 보여주는 ""결혼 시뮬레이션""
결혼을 고민하던 커플들은 상대의 민낯을 샅샅이 보게된다.",드라마
마침표의 유예기간,고아라,9.97,"우연히 아이돌 지망생인 수동과 친구가 된 영진.
잘 빚은 외모에 엉뚱미 있는 수동이에게 점점 빠져든 영진은
긴 짝사랑을 시작하지만 두 사람은 좋지 못한 끝을 맺게 된다.

6년 후 영화 스탭과 배우로 마주하게 된 영진과 수동.
마음이 닫힌 영진에게 수동은 어떤 제안을 하는데,

'널사랑해 but! 널 미워해' 쉽게 가를 수 없는
마음을 헤아리는 일. 마침표의 행방은 어떻게 될 것인가?",로맨스
삼덕천하,신태훈 / 울달,9.71,"원수지간인 산삼과 더덕 사이에서 태어난 삼덕.
“80년을 더덕으로 살았는데.. 이제 와서 산삼이라고?”
출생의 비밀을 알게 된 삼덕은 담금주가 된 아버지의 복수를 위해 무림'초'로 거듭난다!
""더덕파를 무찌르고, 아버지를 구하겠어! ......언젠간!!""",개그
수인 보호소에서 남주를 입양해 버렸다,유지별이 / 설단희,9.96,"피폐삽질 소설의 시에나 로베트라는 악녀에 빙의했다. 

돌연변이라는 이유로 표범 가문에서 버려져 수인 보호소에 온 남주를 괴롭히다, 
뒤늦게 아들을 찾아온 공작에 의해 단명하는 역. 

어떻게든 살아보겠다고 팔불출 아빠를 설득해서 
공작이 오기 전까지 이반을 보호하는 데는 성공했는데……. 

막상 공작이 찾아오자 생각지도 못한 상황이 펼쳐진다. 

“저 인간도 데려가지.” 

에? 저요? 

저는 아빠랑 여기서 살고 싶은데요?",로맨스
뽀대작렬,상하,9.79,"사랑하지 않는 시대

꿈과 사랑은 커녕 계획도 사람도 없는 서른일곱 '김하영'
그런 그녀가 20년 전 뽀대나게 사랑했던 열일곱 '김 선'으로 돌아간다.",로맨스
강아지는 멍멍하고 짖지 않아!,얄라리,9.96,"권태롭던 인생의 한복판에서 매운맛 강아지 밤빵이를 만나다.
이상과 현실이 신명나게 따로 노는 파란만장 반려생활!",일상
돌아온 쿠쿠짱,신의철 / 김성모,9.64,"최강(?)의 펭귄 쿠쿠가 돌아왔다! 그런데 돌아온 곳이... 김성모 유니버스?!
과연 쿠쿠와 럭키짱 강건마는 힘을 합쳐 야수고의 일진들을 해치우고 세상의 평화를...
더 이상의 자세한 설명은 생략한다.",개그
쇼윈도 탈출,뽀삐 / 수희,9.94,"완벽한 비주얼에 스윗한 팬서비스로 사랑받는 아이돌 '윤재'.
운 좋게 인기 예능에 섭외되며 개인 활동까지 성공가도를 달리나 했는데, 그 기쁨도 잠시.
잊고 살았던 그의 과거가 목을 조여온다. 과연 윤재는 빛나는 연예인의 삶을 지켜낼 수 있을까?
2022 지상최대공모전 1기 최우수상 수상작.",드라마
신입은 낮져밤이,다심 / 고기감자 / 블랑드,9.87,"낮에는 천사같이 다정한 신입이, 밤만 되면 달라진다. 
입사 3개월 차, 잘생기고 매너 좋은 신입이 알고 보니 회장님 아들이었다? 
그런데 녀석이 속인 것이 신분만은 아니었다. 성격이...성격이 거지 같다!! 
""좋은 아침이에요, 신이연 과장님."" 
낮에는 세상 다정하고 싹싹한 신입이 
""내일까지 처리해."" 
밤만 되면 건방진 회장 아들의 모습을 드러낸다. 
문제는 그걸... 나만 안다는 것. 
알려지면 안된다며 계약서까지 작성한 마당에, 본격 아찔해진 회사 생활이 시작되었다. 
신입을 남몰래 모시게 된 상황도 고통스럽지만, 낮이면 순둥이 연기를 펼치는 녀석의 모습을 지켜보는 건 더더욱 고통스럽기만 하다. 
그런데...틱틱거리긴 하지만 힘들 때마다 어느샌가 도와주고 자꾸만 나를 유혹하는 듯한 신입에게 홀린듯이 빠져들고 있다. 
저 얄미운 녀석을, 대체 어떻게 하면 좋지?",로맨스
나를 낳아줘,미티 / 연주,9.8,"유년시절 친모에게 버림받은 트라우마로 인해 비혼주의자의 삶을 사는 스타 사탐강사 이도리,
그녀의 앞에 미래의 친딸임을 주장하는 영적인 존재인 김미래가 찾아오고, 그녀의 눈에만 보이는 딸과의 3년간의 거부할 수 없는 동거가 시작된다.",드라마
짝사랑은 결혼으로 끝나지 않는다,치커리 / 팀 라보 / 누오바,9.93,"아르커스 공작이 난민이었던 그녀를 구한 순간, 미엘은 해바라기가 되었다. 
그리고 그 마음을 충심으로 덮은 지 8년… 
“나랑 결혼하지.”
유능한 부관이 된 그녀에게, 주군이 말했다.
“자네가 제일 뒤탈 없을 것 같아.”

그가 원하는 것은 허울뿐인 관계.
조카에게 공작 위를 이양하기 전까지 공작 부인으로 있는 것.

늘 그렇듯 냉정하고 근사한 남자는,
후계만 낳지 않는다면 모든 것을 처리해 주겠다고 했다. 동생들의 교육도, 집안의 빚도.
그래서 받아들였다. 모두를 위해 감정 따위야 끝까지 숨길 수 있었다.

그런데 그의 태도가 점점 더 헷갈린다. 어쩌면 그도 내게 관심이 생긴 걸까?",로맨스
말숙이를 부탁해,임규현,9.95,"1년 전 부모님을 여의고 어린 여동생 말숙이와 단둘이 살아가고 있는 나에게는 남들에게 말 못할 비밀이 하나 있다.
그건 바로... 내 여동생 말숙이가 마왕이라는 것...!!! 게다가 장래희망은 지구멸망??!
그치만 마왕이면 뭐 어때, 누가 뭐래도 말숙이는 내가 올바르게 키울거야!!",개그
산타 스카우트,조현아,9.98,"친구들과 함께 크리스마스 전날 밤 교회에서 도둑질을 하던 노아. 탈출 직전 높은 굴뚝 아래로 추락하고 몸과 영혼이 분리되고 만다!
노아를 구해준 예비산타 이브는 크리스마스가 끝나기 전까지 친구들이 훔쳐 간 선물들을 되찾아오면 몸으로 돌아가게 해주겠다고 제안하는데…!",드라마
누가 나를 죽였을까,후,9.92,"가장 친했던 친구가 죽은 이후로, 매일 밤 꿈에 세 명의 남자가 나타나 나를 죽인다. 
내가 사랑하게 된 남자, 나와 협력하는 남자, 그리고 나를 미워하는 남자. 
어느 날부터 꿈속의 그들이 현실에서도 나타나기 시작하는데… 
과연, 이 세 남자 중 누가 나를 죽였을까?",스릴러
판박귀,킹맨,9.51,"“안개가 짙어지면 그들이 올 거야, 판에 박은 듯 똑같은 얼굴을 하고.”
평생을 살인범의 딸로 살아온 서우리, 외할머니의 부고로 외가 시골 마을에 향한다.
그곳에서 18년 전 엄마가 겪었던 판박이 귀신 사건을 마주한다.",스릴러
나랑 해요,통조림 / 별규,9.91,"정략결혼을 앞둔 주원 호텔 후계자 하경. 약혼식 3주 전, 청혼을 받는다. 결혼 상대가 아닌 다른 남자에게서.
심지어 그는 약혼자의 동생이었다.
“우리 형이랑 결혼 못 해요. 내가 못 하게 할 거니까.” 
10대 때의 첫 일탈을 함께한 그와 또 한번 인생 최대의 일탈을 하게 될 것만 같은, 불길한 예감이 들기 시작했다.",로맨스
더 베이비시터,김도연,9.95,"집도 없이 쫓기며 사는 홍조는 대저택에서 베이비시터 일을 하게 된다.
그 대상은 저택에서 풍요롭게 살며 사람을 죽여야 하는 태하.
홍조의 소망을 태하가 이뤄줄 수 있을까.",스릴러
사생돌,령 / 유나나,9.11,"탑아이돌과 전교 왕따의 몸이 뒤바뀌었다?! 
학교에서 매일 같이 괴롭힘을 당하는 전교 왕따, 홍주아.
전국민의 사랑을 받는 탑 아이돌, 고요한.
주아는 사랑을 한 몸에 받는 아이돌의 삶을, 요한은 평범하고 자유로운 일반인의 삶을 부러워한다.
서로의 삶을 동경하던 어느 날, 몸이 뒤바뀐다!?
스펙타클 바디체인지 로맨스, 사생돌!",로맨스
고백하면 끝나는 만화,윤딘,9.93,"실수투성이인 소녀 송세나!
같은 반 대세가 우산을 빌려준 것을 계기로 대세를 짝사랑하게 되지만,
고백을 하려고 할 때마다 자꾸만 상황이 꼬이는데...!
될 것 같으면서 안 되는 고백!

""내일은 꼭 제대로 좋아한다고 말할 거야!""
과연 세나의 마음은 대세에게 닿을 수 있을까?",로맨스
그때 그 채영민,문홍조,9.91,"서른의 특명. 더 이상 아무것도 아닐 나로 잘 살아가기.
한 때의 촉망받던 수영선수, 조금 특별했던 영민이지만 현재의 어느 누구 만큼이나 평범한 그녀.
세상은 나만빼고 잘 되는 것 같은데… 
그런 영민이 우연히 만나게 된 어릴적 친구인 ‘성연’과 ‘도하’를 통해 자신있고 빛나던 그때의 영민과 우리들을 떠올리게 된다.

20대의 끝자락 30대의 초입에서 겪는 평범한 사람들의 고민들과,
과거의 사건을 풀어가며 영민이 자기연민에서 벗어나 진정한 사랑을 찾아가는 성장 스토리.",드라마
두 마리를 위한 뜰,솜마르,9.97,"잡아먹어달라고!
평화롭던 산양마을에서 한순간 불길한 징조가 되어버린 우이람. 
모든 걸 포기하고자 늑대를 찾아가지만, 이 늑대 어딘가 이상한데... 
완벽한 죽음을 위해 따라나선 모험에서 우이람은 삶의 의지를 되찾을 수 있을까?",드라마
범상찮은 밤,어사화,9.97,"‘죽은 자는 말이 없다고, 누가 그래?’
때는 일제강점기,
검은 호랑이는 자신을 거두어 길러준 인간 부부를 이유도 모른 채 잃게 된다.
그때 나타난 수상한 여인, 초희. 그녀는 시신을 해부해 그 사인과 범인을 밝혀내지만…
검은 호랑이는 복수를 위해 누구의 편인지 알 수 없는 초희와 손을 잡는다.",드라마
"49번 남았습니다, 스승님!",김공작 / 코양희,9.93,"힘 없던 13황자가 황제가 되자마자 한 일은 스승인 요요화에게 사약을 내리는 것이었다.
이전 생에 요요화가 황자를 여러번 죽였다는 것이 이유였다.
사약을 마신 요요화는 황자처럼 회귀하게 되고, 황자에게 잘해주다 도망치기로 마음 먹지만 황자가 그 사실을 알게 되는데...
“미치겠군. 이전엔 죽이고, 저번엔 무시하더니. 이제야 좀 예쁘게 군다 싶었는데. 달아나려 해?”",로맨스
히어로 더 맥시멈,박재이,9.85,"'난 1등이 되고 싶다.' 어느분야든 상관없이 오로지 1등이 되고 싶었던 대한민국 고딩 '한강치'
무쓸모, 무재능인 그에게 우연히 엄청난 재능이 발현 되는데... 그건 바로 '히어로'의 힘?
선과 악이 불분명한 평화의 시대, 그와 히어로들의 거침없는 악당 소탕이 시작된다!",액션
우리의 연애일지,오늘,9.62,"동우는 대학에 입학하는 것까지 자신의 선택으로 뭘 정해본 적이 없었다.
대학에 와서 자취를 시작하면서 모든 게 서툰 동우에게 자연스럽게 다가온 옆집 선배 다인,
물 같은 동우에게 다인이의 색깔이 스며들자 물이 흐르기 시작했다.",로맨스
"사랑아, 영원해!",초피,9.77,"아이돌 '영원'의 팬 '사랑'은 어느 날 터진 영원의 사회면 기사에 충격을 받는데, 눈을 떠보니 1년 전 과거로 돌아와버렸다.
신뢰를 저버린 아이돌따위 깔끔하게 탈덕하고 성실 공시생이 된 사랑.
그런데.. 정신을 차려보니 다시 1년 전이다.

계속 반복되는 루프에 갇힌 사랑. 그리고 그 안에서 유일하게 달라지는 영원. 루프와 영원은 관련이 있는 것일까?",드라마
촉법소년,"박만사, 남자의 이야기 / 정종택",9.89,"대한민국은 X같은 법들로 가득하다
나를 지옥으로 밀어넣고도 처벌받지 않았던 ‘촉법소년’들
그 X같은 법의 결과물들에게, 지금부터 복수를 시작한다",액션
순결을 그대에게,지공,9.97,"원치 않는 결혼을 피하기 위해 소꿉친구인 딘에게 순결을 잃으려는 세라.
하지만 딘의 모습이 어딘가 서툴다.
“너 혹시 처음이야?”
주인과 하인,
신분 차이를 넘나드는 첫사랑 로맨스.",로맨스
할배무사와 지존 손녀,신의철 / 김명현 / 일향(一向),9.97,"죽을 날을 앞두고 미련없이 생을 마무리 하려던 순간 덮친 멸문지화!
유진산은 홀로 생존한 갓난 손녀 '유설'이 다 자랄 때까지만이라도 살아남기로 결심한다.
이미 늙어버린 몸으로 육아와 수련을 병행하며 눈물겨운 사투를 벌이는 동안,
어느새 무림지존의 기재를 타고난 손녀는 믿을 수 없이 빠르게 성장해가고 있었다.
""걱정마, 할배. 이젠 내가 지켜줄게!""",무협/사극
소꿉친구 컴플렉스,은하이,9.96,"20살에 20년지기, 평생을 함께한 소꿉친구 하늘과 민철.
그런 소꿉친구의 알고 싶지 않은 은밀한 사정을 알아버렸다?!
서로를 이성으로 생각한 적이 결코 없는 두사람이지만,
오해가 오해를 낳고 착각이 착각을 낳는 상황들 속에서 점점 서로가 의식되기 시작한다.
서로를 너무 잘 알기 때문에 오히려 고난을 겪는 두 남녀의 술래잡기 같은 로맨스 코미디!",로맨스
회귀한 천재 헌터의 슬기로운 청소생활,고일고일 / 달비트,9.83,"세계 최초 SSS랭크 천재 헌터 김준우. 어느 날 습격을 당해 죽게 되고, 10년 전으로 회귀한다.
스킬은 모두 봉인됐고, 해제를 위해서는 극한 직업인 던전 청소부로 일을 해야 하는데?!
하지만 이 청소부, 남다르다! 현직 헌터보다 더 강한 전직 헌터의 망나니식 청소가 시작된다!
원작 제공 : 영상출판미디어",판타지
마도귀환록,팀 더 제이 / MISANG / 한유림,9.91,"천마신교의 권력 투쟁을 피해 초야에 은거한 주인공 명운. 
하지만 권좌에 뜻을 두지 않는 것만으로는 비극을 피할 수 없었다. 
명운은 골육상잔을 행하기 위해 찾아온 천마신교의 교주 명각을 피해 달아나던 중 추살당하고 만다. 
그 순간, 죽음을 앞두고 흐려지는 의식 속에서 누군가의 목소리가 들려온다.
‘…후회하는가? 다시 싸우길 원하는가?’
그 목소리를 끝으로 죽은 줄만 알았던 명운은 다시 눈을 뜨게 되는데….",무협/사극
사내연애 사절!,두부 / 남수,9.97,"첫사랑 별거 있나. 
어른이 되어 첫사랑을 다시 만난다면, 
과연 우리는 여전히 설렐까? 

첫사랑에서 친구로, 친구에서 동료로, 
역행하는 관계 속에서 솔직한 내 마음은 '사내연애 사절!' 

<유일무이 로맨스> 두부 X <바른연애 길잡이> 남수 작가의 만남! 
로맨스 장인들의 믿고 보는 오피스 로맨스",로맨스
피부과 만렙남,LICO,9.94,"여드름, 흉터, 모공으로 가득했던 울퉁불퉁 피부의 소유자 김달걀! 
썸녀가 생기며 피부관리를 하기로 결심하고, 각종 시술과 홈케어를 통해 비로소 깐달걀로 거듭나게 되는데...! 
매끈매끈 피부로 거듭나기까지 눈물 없이 볼 수 없는 피부과 시술과 홈케어의 비법, 
달걀이가 들려주는 그 적나라한 이야기!",일상
